Date,Description,Amount
2024-01-02,Grocery Store Purchase,-85.43
2024-01-03,Netflix Subscription,-15.99
2024-01-05,Gas Station Fill Up,-42.50
2024-01-07,Restaurant Dinner,-67.89
2024-01-08,Electric Bill Payment,-128.75
2024-01-10,Amazon Online Order,-34.99
2024-01-12,Coffee Shop Visit,-8.75
2024-01-15,Rent Payment,-1200.00
2024-01-16,Uber Ride,-18.45
2024-01-18,Grocery Store Purchase,-92.31
2024-01-20,Movie Theater Tickets,-28.50
2024-01-22,Phone Bill Payment,-65.00
2024-01-24,Fast Food Order,-12.99
2024-01-25,Spotify Premium,-9.99
2024-01-27,Gas Station Fill Up,-38.75
2024-01-29,Restaurant Lunch,-23.45
2024-01-30,Grocery Store Purchase,-74.82
2024-02-01,Internet Bill Payment,-79.99
2024-02-03,Target Shopping,-156.78
2024-02-05,Coffee Shop Visit,-6.50
2024-02-07,Gym Membership,-45.00
2024-02-09,Amazon Prime Renewal,-139.00
2024-02-10,Gas Station Fill Up,-41.25
2024-02-12,Restaurant Dinner,-89.67
2024-02-14,Valentine's Day Flowers,-45.99
2024-02-15,Rent Payment,-1200.00
2024-02-16,Grocery Store Purchase,-103.45
2024-02-18,Uber Eats Delivery,-19.85
2024-02-20,Electric Bill Payment,-142.30
2024-02-22,Streaming Service,-11.99
2024-02-24,Gas Station Fill Up,-39.99
2024-02-26,Coffee Shop Visit,-7.25
2024-02-28,Grocery Store Purchase,-88.92
